Institution,Location,Address,Title,Starting Month,Starting Year,Ending Month,Ending Year,Current
George Mason University,"Fairfax, VA","4400 University Dr. Fairfax, VA 22030",Assistant Professor,August,2022,,,Y
George Mason University,"Fairfax, VA","4400 University Dr. Fairfax, VA 22030",Term Assistant Professor,August,2020,May,2022,N
George Mason University,"Fairfax, VA","4400 University Dr. Fairfax, VA 22030",Director of Outreach for the Mason Experimental Geometry Lab,August,2020,May,2022,N
University of Michigan,"Ann Arbor, MI","530 Church St. Ann Arbor, MI 48109",Visiting Assistant Professor,September,2016,May,2020,N
University of Michigan,"Ann Arbor, MI","530 Church St. Ann Arbor, MI 48109",Parekh Family Fellow,September,2019,May,2020,N
University of Michigan,"Ann Arbor, MI","530 Church St. Ann Arbor, MI 48109",Research Training Grant (RTG) Postdoctoral Fellow,September,2016,August,2018,N
